num_brokers,replication_factor,test_type,partitions,message_size_bytes,producer_acks,consumer_groups,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms
1,1,producer,1,100,1,N/A,137362.637363,13.10,183.94,308.00
1,1,producer,1,100,all,N/A,141643.059490,13.51,255.46,472.00
1,1,producer,1,1024,1,N/A,60569.351908,59.15,350.24,525.00
1,1,producer,1,1024,all,N/A,73367.571533,71.65,250.84,326.00
1,1,producer,1,10240,1,N/A,9599.8,93.75,195.9,345.0
1,1,producer,1,10240,all,N/A,9982.2,97.48,188.1,292.0
1,1,producer,4,100,1,N/A,232018.561485,22.13,3.42,270.00
1,1,producer,4,100,all,N/A,212765.957447,20.29,3.60,274.00
1,1,producer,4,1024,1,N/A,84317.032040,82.34,190.24,276.00
1,1,producer,4,1024,all,N/A,82169.268694,80.24,199.53,277.00
1,1,producer,4,10240,1,N/A,10570.2,103.22,177.8,268.0
1,1,producer,4,10240,all,N/A,10488.6,102.43,178.9,275.0
1,1,producer,8,100,1,N/A,230414.746544,21.97,3.15,266.00
1,1,producer,8,100,all,N/A,222717.149220,21.24,2.84,269.00
1,1,producer,8,1024,1,N/A,85984.522786,83.97,177.86,277.00
1,1,producer,8,1024,all,N/A,84459.459459,82.48,178.91,278.00
