num_brokers,replication_factor,test_type,partitions,message_size_bytes,producer_acks,consumer_groups,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms
2,1,producer,1,100,1,N/A,142653.352354,13.60,156.50,322.00
2,1,producer,1,100,all,N/A,141242.937853,13.47,239.03,495.00
2,1,producer,1,1024,1,N/A,59665.871122,58.27,344.20,489.00
2,1,producer,1,1024,all,N/A,70571.630205,68.92,258.43,344.00
2,1,producer,1,10240,1,N/A,10103.4,98.67,185.3,283.0
2,1,producer,1,10240,all,N/A,10050.6,98.15,186.0,284.0
2,1,producer,4,100,1,N/A,221238.938053,21.10,1.91,288.00
2,1,producer,4,100,all,N/A,205761.316872,19.62,2.10,307.00
2,1,producer,4,1024,1,N/A,83125.519534,81.18,184.97,290.00
2,1,producer,4,1024,all,N/A,82101.806240,80.18,187.55,288.00
2,1,producer,4,10240,1,N/A,10553.4,103.06,176.9,289.0
2,1,producer,4,10240,all,N/A,10518.2,102.72,177.5,286.0
2,1,producer,8,100,1,N/A,222717.149220,21.24,1.98,287.00
2,1,producer,8,100,all,N/A,213219.616205,20.33,1.97,288.00
2,1,producer,8,1024,1,N/A,84388.185654,82.41,170.38,290.00
2,1,producer,8,1024,all,N/A,83682.008368,81.72,154.07,293.00
2,1,producer,8,10240,1,N/A,10669.0,104.19,174.7,283.0
2,1,producer,8,10240,all,N/A,10616.8,103.68,175.2,293.0
2,1,consumer,1,100,N/A,1,26831.2316,2.5588,N/A,N/A
2,1,consumer,1,1024,N/A,1,22406.4531,21.8813,N/A,N/A
2,1,consumer,1,10240,N/A,1,7704.1602,75.2359,N/A,N/A
2,1,consumer,4,100,N/A,1,28901.7341,2.7563,N/A,N/A
2,1,consumer,4,1024,N/A,1,23468.6693,22.9186,N/A,N/A
2,1,consumer,4,10240,N/A,1,8144.6490,79.5376,N/A,N/A
2,1,consumer,8,100,N/A,1,25542.7842,2.4359,N/A,N/A
2,1,consumer,8,1024,N/A,1,23546.0325,22.9942,N/A,N/A
2,1,consumer,8,10240,N/A,1,8097.1660,79.0739,N/A,N/A
2,1,e2e-producer,1,100,1,1,213219.616205,20.33,13.65,285.00
2,1,e2e-consumer,1,100,N/A,1,18325.0870,1.7476,N/A,N/A
2,1,e2e-producer,1,1024,1,1,77881.619938,76.06,221.30,292.00
2,1,e2e-consumer,1,1024,N/A,1,15748.0315,15.3789,N/A,N/A
2,1,e2e-producer,1,10240,1,1,5799.6,56.64,317.4,365.0
2,1,e2e-consumer,1,10240,N/A,1,4699.4690,45.8933,N/A,N/A
2,1,e2e-producer,4,100,1,1,221238.938053,21.10,2.77,284.00
2,1,e2e-consumer,4,100,N/A,1,18443.3788,1.7589,N/A,N/A
2,1,e2e-producer,4,1024,1,1,78740.157480,76.89,196.75,307.00
2,1,e2e-consumer,4,1024,N/A,1,15790.3048,15.4202,N/A,N/A
2,1,e2e-producer,4,10240,1,1,9999.8,97.65,186.6,290.0
2,1,e2e-consumer,4,10240,N/A,1,6851.1921,66.9062,N/A,N/A
2,1,e2e-producer,8,100,1,1,225225.225225,21.48,3.44,284.00
2,1,e2e-consumer,8,100,N/A,1,18338.5292,1.7489,N/A,N/A
2,1,e2e-producer,8,1024,1,1,81967.213115,80.05,174.98,299.00
2,1,e2e-consumer,8,1024,N/A,1,16041.0651,15.6651,N/A,N/A
2,1,e2e-producer,8,10240,1,1,10155.4,99.17,183.1,294.0
2,1,e2e-consumer,8,10240,N/A,1,6674.2308,65.1780,N/A,N/A
2,2,producer,1,100,1,N/A,207900.207900,19.83,8.92,290.00
2,2,producer,1,100,all,N/A,125944.584383,12.01,169.44,302.00
2,2,producer,1,1024,1,N/A,78064.012490,76.23,217.57,287.00
2,2,producer,1,1024,all,N/A,22706.630336,22.17,1039.66,1287.00
2,2,producer,1,10240,1,N/A,9584.2,93.60,194.9,286.0
2,2,producer,1,10240,all,N/A,2112.2,20.63,819.6,995.0
2,2,producer,4,100,1,N/A,214592.274678,20.47,1.79,295.00
2,2,producer,4,100,all,N/A,204918.032787,19.54,8.24,284.00
2,2,producer,4,1024,1,N/A,83125.519534,81.18,178.31,287.00
2,2,producer,4,1024,all,N/A,56022.408964,54.71,341.70,489.00
2,2,producer,4,10240,1,N/A,10523.8,102.77,177.3,293.0
2,2,producer,4,10240,all,N/A,5367.4,52.42,341.0,444.0
2,2,producer,8,100,1,N/A,215517.241379,20.55,2.08,297.00
2,2,producer,8,100,all,N/A,132625.994695,12.65,115.78,400.00
2,2,producer,8,1024,1,N/A,84245.998315,82.27,170.86,290.00
2,2,producer,8,1024,all,N/A,65274.151436,63.74,273.44,382.00
2,2,producer,8,10240,1,N/A,10645.0,103.96,175.0,292.0
2,2,producer,8,10240,all,N/A,6950.2,67.87,265.9,297.0
2,2,consumer,1,100,N/A,1,28563.2676,2.7240,N/A,N/A
2,2,consumer,1,1024,N/A,1,22836.2640,22.3010,N/A,N/A
2,2,consumer,1,10240,N/A,1,7818.6083,76.3536,N/A,N/A
2,2,consumer,4,100,N/A,1,28719.1269,2.7389,N/A,N/A
2,2,consumer,4,1024,N/A,1,23463.1628,22.9132,N/A,N/A
2,2,consumer,4,10240,N/A,1,8148.6310,79.5765,N/A,N/A
2,2,consumer,8,100,N/A,1,28686.1733,2.7357,N/A,N/A
2,2,consumer,8,1024,N/A,1,23562.6767,23.0104,N/A,N/A
2,2,consumer,8,10240,N/A,1,8112.2739,79.2214,N/A,N/A
2,2,e2e-producer,1,100,1,1,214592.274678,20.47,15.76,282.00
2,2,e2e-consumer,1,100,N/A,1,18261.5047,1.7416,N/A,N/A
2,2,e2e-producer,1,1024,1,1,75301.204819,73.54,234.06,301.00
2,2,e2e-consumer,1,1024,N/A,1,14027.2128,13.6984,N/A,N/A
2,2,e2e-producer,1,10240,1,1,9295.6,90.78,200.8,284.0
2,2,e2e-consumer,1,10240,N/A,1,4244.1219,41.4465,N/A,N/A
2,2,e2e-producer,4,100,1,1,222222.222222,21.19,4.17,284.00
2,2,e2e-consumer,4,100,N/A,1,17724.2113,1.6903,N/A,N/A
2,2,e2e-producer,4,1024,1,1,81168.831169,79.27,193.35,291.00
