num_brokers,replication_factor,test_type,partitions,message_size_bytes,producer_acks,consumer_groups,records_per_sec,mb_per_sec,avg_latency_ms,max_latency_ms
3,2,e2e-consumer,1,100,N/A,1,18211.6190,1.7368,N/A,N/A
3,2,e2e-producer,1,1024,1,1,78554.595444,76.71,218.06,283.00
3,2,e2e-consumer,1,1024,N/A,1,13986.0140,13.6582,N/A,N/A
3,2,e2e-producer,1,10240,1,1,4572.8,44.66,399.0,458.0
3,2,e2e-consumer,1,10240,N/A,1,3942.7513,38.5034,N/A,N/A
3,2,e2e-producer,4,100,1,1,220264.317181,21.01,2.46,292.00
3,2,e2e-consumer,4,100,N/A,1,18362.1006,1.7511,N/A,N/A
3,2,e2e-producer,4,1024,1,1,80385.852090,78.50,198.31,321.00
3,2,e2e-consumer,4,1024,N/A,1,15895.7241,15.5232,N/A,N/A
3,2,e2e-producer,4,10240,1,1,9933.4,97.01,187.5,290.0
3,2,e2e-consumer,4,10240,N/A,1,6823.6097,66.6368,N/A,N/A
3,2,e2e-producer,8,100,1,1,215053.763441,20.51,2.46,289.00
3,2,e2e-consumer,8,100,N/A,1,18406.0372,1.7553,N/A,N/A
3,2,e2e-producer,8,1024,1,1,81366.965012,79.46,184.31,381.00
3,2,e2e-consumer,8,1024,N/A,1,16074.5861,15.6978,N/A,N/A
3,2,e2e-producer,8,10240,1,1,10430.2,101.86,178.4,292.0
3,2,e2e-consumer,8,10240,N/A,1,6969.1268,68.0579,N/A,N/A
3,3,producer,1,100,1,N/A,204918.032787,19.54,15.36,293.00
3,3,producer,1,100,all,N/A,134228.187919,12.80,114.53,297.00
3,3,producer,1,1024,1,N/A,77881.619938,76.06,224.56,287.00
3,3,producer,1,1024,all,N/A,22070.183183,21.55,1071.95,1343.00
3,3,producer,1,10240,1,N/A,4780.4,46.68,382.3,425.0
3,3,producer,1,10240,all,N/A,1694.8,16.55,990.7,1185.0
3,3,producer,4,100,1,N/A,218340.611354,20.82,8.40,289.00
3,3,producer,4,100,all,N/A,196463.654224,18.74,13.91,289.00
3,3,producer,4,1024,1,N/A,78064.012490,76.23,191.89,410.00
3,3,producer,4,1024,all,N/A,46317.739694,45.23,414.37,685.00
3,3,producer,4,10240,1,N/A,10466.8,102.21,178.3,288.0
3,3,producer,4,10240,all,N/A,4747.6,46.36,383.5,550.0
3,3,producer,8,100,1,N/A,219780.219780,20.96,2.34,292.00
3,3,producer,8,100,all,N/A,204498.977505,19.50,8.87,293.00
3,3,producer,8,1024,1,N/A,82440.230833,80.51,177.38,366.00
3,3,producer,8,1024,all,N/A,61538.461538,60.10,298.49,427.00
3,3,producer,8,10240,1,N/A,10599.4,103.51,175.6,294.0
3,3,producer,8,10240,all,N/A,6312.0,61.64,291.7,346.0
3,3,consumer,1,100,N/A,1,28571.4286,2.7248,N/A,N/A
3,3,consumer,1,1024,N/A,1,22951.5722,22.4136,N/A,N/A
3,3,consumer,1,10240,N/A,1,7839.4481,76.5571,N/A,N/A
3,3,consumer,4,100,N/A,1,28768.6997,2.7436,N/A,N/A
3,3,consumer,4,1024,N/A,1,23557.1260,23.0050,N/A,N/A
3,3,consumer,4,10240,N/A,1,8189.3375,79.9740,N/A,N/A
3,3,consumer,8,100,N/A,1,25588.5363,2.4403,N/A,N/A
3,3,consumer,8,1024,N/A,1,23579.3445,23.0267,N/A,N/A
3,3,consumer,8,10240,N/A,1,8165.2650,79.7389,N/A,N/A
3,3,e2e-producer,1,100,1,1,204918.032787,19.54,9.80,293.00
3,3,e2e-consumer,1,100,N/A,1,17937.2197,1.7106,N/A,N/A
3,3,e2e-producer,1,1024,1,1,42390.843578,41.40,502.77,644.00
3,3,e2e-consumer,1,1024,N/A,1,12545.4774,12.2514,N/A,N/A
3,3,e2e-producer,1,10240,1,1,3381.6,33.02,529.8,581.0
3,3,e2e-consumer,1,10240,N/A,1,3030.4867,29.5946,N/A,N/A
3,3,e2e-producer,4,100,1,1,215517.241379,20.55,2.71,290.00
3,3,e2e-consumer,4,100,N/A,1,18284.8784,1.7438,N/A,N/A
3,3,e2e-producer,4,1024,1,1,73529.411765,71.81,216.43,456.00
3,3,e2e-consumer,4,1024,N/A,1,15547.2637,15.1829,N/A,N/A
3,3,e2e-producer,4,10240,1,1,9921.2,96.89,188.0,290.0
3,3,e2e-consumer,4,10240,N/A,1,5894.8361,57.5668,N/A,N/A
3,3,e2e-producer,8,100,1,1,220264.317181,21.01,2.41,287.00
3,3,e2e-consumer,8,100,N/A,1,18419.5985,1.7566,N/A,N/A
3,3,e2e-producer,8,1024,1,1,82781.456954,80.84,170.32,294.00
3,3,e2e-consumer,8,1024,N/A,1,15676.4383,15.3090,N/A,N/A
3,3,e2e-producer,8,10240,1,1,10375.6,101.32,179.1,290.0
3,3,e2e-consumer,8,10240,N/A,1,6318.7160,61.7062,N/A,N/A
