run_id,record_index,wall_clock_s
approach4_mm2_run1,1000,1779276193.593820
approach4_mm2_run1,2000,1779276193.595397
approach4_mm2_run1,3000,1779276193.596912
approach4_mm2_run1,4000,1779276193.598439
approach4_mm2_run1,5000,1779276193.599952
approach4_mm2_run1,6000,1779276193.700713
approach4_mm2_run1,7000,1779276193.702233
approach4_mm2_run1,8000,1779276193.703757
approach4_mm2_run1,9000,1779276193.705294
approach4_mm2_run1,10000,1779276193.706825
approach4_mm2_run1,11000,1779276193.711822
approach4_mm2_run1,12000,1779276193.713346
approach4_mm2_run1,13000,1779276193.714917
approach4_mm2_run1,14000,1779276193.718292
approach4_mm2_run1,15000,1779276193.719887
approach4_mm2_run1,16000,1779276193.724077
approach4_mm2_run1,17000,1779276193.725636
approach4_mm2_run1,18000,1779276193.727165
approach4_mm2_run1,19000,1779276193.728734
approach4_mm2_run1,20000,1779276193.730849
approach4_mm2_run1,21000,1779276193.732964
approach4_mm2_run1,22000,1779276193.734483
approach4_mm2_run1,23000,1779276193.736020
approach4_mm2_run1,24000,1779276193.737538
approach4_mm2_run1,25000,1779276193.739101
approach4_mm2_run1,26000,1779276193.741095
approach4_mm2_run1,27000,1779276193.743178
approach4_mm2_run1,28000,1779276193.744684
approach4_mm2_run1,29000,1779276193.746212
approach4_mm2_run1,30000,1779276193.747737
approach4_mm2_run1,31000,1779276193.749243
approach4_mm2_run1,32000,1779276193.750765
approach4_mm2_run1,33000,1779276193.752272
approach4_mm2_run1,34000,1779276193.753778
approach4_mm2_run1,35000,1779276193.755316
approach4_mm2_run1,36000,1779276193.756834
approach4_mm2_run1,37000,1779276193.760099
approach4_mm2_run1,38000,1779276193.761616
approach4_mm2_run1,39000,1779276193.763133
approach4_mm2_run1,40000,1779276193.764645
approach4_mm2_run1,41000,1779276193.766178
approach4_mm2_run1,42000,1779276193.767704
approach4_mm2_run1,43000,1779276194.321038
approach4_mm2_run1,44000,1779276194.322573
approach4_mm2_run1,45000,1779276194.324095
approach4_mm2_run1,46000,1779276194.325645
approach4_mm2_run1,47000,1779276194.327186
approach4_mm2_run1,48000,1779276194.381840
approach4_mm2_run1,49000,1779276194.383369
approach4_mm2_run1,50000,1779276194.384899
approach4_mm2_run1,51000,1779276194.386420
approach4_mm2_run1,52000,1779276194.430625
approach4_mm2_run1,53000,1779276194.432170
approach4_mm2_run1,54000,1779276194.433915
approach4_mm2_run1,55000,1779276194.437027
approach4_mm2_run1,56000,1779276194.438568
approach4_mm2_run1,57000,1779276194.440129
approach4_mm2_run1,58000,1779276194.441870
approach4_mm2_run1,59000,1779276194.444133
approach4_mm2_run1,60000,1779276194.445704
approach4_mm2_run1,61000,1779276194.447271
approach4_mm2_run1,62000,1779276194.448827
approach4_mm2_run1,63000,1779276194.451383
approach4_mm2_run1,64000,1779276194.453917
approach4_mm2_run1,65000,1779276194.455477
approach4_mm2_run1,66000,1779276194.457000
approach4_mm2_run1,67000,1779276194.458528
approach4_mm2_run1,68000,1779276194.460039
approach4_mm2_run1,69000,1779276194.461552
approach4_mm2_run1,70000,1779276194.463081
approach4_mm2_run1,71000,1779276194.464602
approach4_mm2_run1,72000,1779276194.466145
approach4_mm2_run1,73000,1779276194.467691
approach4_mm2_run1,74000,1779276194.469221
approach4_mm2_run1,75000,1779276194.470764
approach4_mm2_run1,76000,1779276194.472293
approach4_mm2_run1,77000,1779276194.473830
approach4_mm2_run1,78000,1779276194.484892
approach4_mm2_run1,79000,1779276194.486440
approach4_mm2_run1,80000,1779276194.488013
approach4_mm2_run1,81000,1779276194.489567
approach4_mm2_run1,82000,1779276194.491122
approach4_mm2_run1,83000,1779276195.047063
approach4_mm2_run1,84000,1779276195.048597
approach4_mm2_run1,85000,1779276195.050130
approach4_mm2_run1,86000,1779276195.051682
approach4_mm2_run1,87000,1779276195.053221
approach4_mm2_run1,88000,1779276195.054786
approach4_mm2_run1,89000,1779276195.160261
approach4_mm2_run1,90000,1779276195.161803
approach4_mm2_run1,91000,1779276195.163365
approach4_mm2_run1,92000,1779276195.164939
approach4_mm2_run1,93000,1779276195.166503
approach4_mm2_run1,94000,1779276195.172581
