run_id,record_index,wall_clock_s
approach2_run1,1000,1779273908.986693
approach2_run1,2000,1779273909.071195
approach2_run1,3000,1779273909.130029
approach2_run1,4000,1779273909.222831
approach2_run1,5000,1779273909.246698
approach2_run1,6000,1779273909.330546
approach2_run1,7000,1779273909.393376
approach2_run1,8000,1779273909.479879
approach2_run1,9000,1779273909.507413
approach2_run1,10000,1779273909.593817
approach2_run1,11000,1779273909.650991
approach2_run1,12000,1779273909.735133
approach2_run1,13000,1779273909.764391
approach2_run1,14000,1779273909.849884
approach2_run1,15000,1779273909.896875
approach2_run1,16000,1779273909.991116
approach2_run1,17000,1779273910.025304
approach2_run1,18000,1779273910.110185
approach2_run1,19000,1779273910.161342
approach2_run1,20000,1779273910.246412
approach2_run1,21000,1779273910.283019
approach2_run1,22000,1779273910.368220
approach2_run1,23000,1779273910.454928
approach2_run1,24000,1779273910.501617
approach2_run1,25000,1779273910.586960
approach2_run1,26000,1779273910.628410
approach2_run1,27000,1779273910.713362
approach2_run1,28000,1779273910.757236
approach2_run1,29000,1779273910.841259
approach2_run1,30000,1779273910.888672
approach2_run1,31000,1779273910.976247
approach2_run1,32000,1779273911.011192
approach2_run1,33000,1779273911.096604
approach2_run1,34000,1779273911.147484
approach2_run1,35000,1779273911.233270
approach2_run1,36000,1779273911.266274
approach2_run1,37000,1779273911.351319
approach2_run1,38000,1779273911.407195
approach2_run1,39000,1779273911.491610
approach2_run1,40000,1779273911.522559
approach2_run1,41000,1779273911.606732
approach2_run1,42000,1779273911.665783
approach2_run1,43000,1779273911.750692
approach2_run1,44000,1779273911.777221
approach2_run1,45000,1779273911.861762
approach2_run1,46000,1779273911.946582
approach2_run1,47000,1779273912.011811
approach2_run1,48000,1779273912.098433
approach2_run1,49000,1779273912.118562
approach2_run1,50000,1779273912.204185
approach2_run1,51000,1779273912.272214
approach2_run1,52000,1779273912.358480
approach2_run1,53000,1779273912.373966
approach2_run1,54000,1779273912.460377
approach2_run1,55000,1779273912.532703
approach2_run1,56000,1779273912.618029
approach2_run1,57000,1779273912.631856
approach2_run1,58000,1779273912.716456
approach2_run1,59000,1779273912.792376
approach2_run1,60000,1779273912.879828
approach2_run1,61000,1779273912.888333
approach2_run1,62000,1779273912.973113
approach2_run1,63000,1779273913.053986
approach2_run1,64000,1779273913.139713
approach2_run1,65000,1779273913.142866
approach2_run1,66000,1779273913.229292
approach2_run1,67000,1779273913.311950
approach2_run1,68000,1779273913.399369
approach2_run1,69000,1779273913.483160
approach2_run1,70000,1779273913.486032
approach2_run1,71000,1779273913.571424
approach2_run1,72000,1779273913.653588
approach2_run1,73000,1779273913.736712
approach2_run1,74000,1779273913.742206
approach2_run1,75000,1779273913.827974
approach2_run1,76000,1779273913.909884
approach2_run1,77000,1779273913.995472
approach2_run1,78000,1779273914.000849
approach2_run1,79000,1779273914.087258
approach2_run1,80000,1779273914.166241
approach2_run1,81000,1779273914.251029
approach2_run1,82000,1779273914.262136
approach2_run1,83000,1779273914.347296
approach2_run1,84000,1779273914.423575
approach2_run1,85000,1779273914.508348
approach2_run1,86000,1779273914.520530
approach2_run1,87000,1779273914.607044
approach2_run1,88000,1779273914.679845
approach2_run1,89000,1779273914.764028
approach2_run1,90000,1779273914.848307
approach2_run1,91000,1779273914.863599
approach2_run1,92000,1779273914.950964
approach2_run1,93000,1779273915.019168
approach2_run1,94000,1779273915.104028
approach2_run1,95000,1779273915.126820
approach2_run1,96000,1779273915.212641
approach2_run1,97000,1779273915.274667
approach2_run1,98000,1779273915.359644
approach2_run1,99000,1779273915.386529
approach2_run1,100000,1779273915.471591
approach2_run1,101000,1779273915.529682
approach2_run1,102000,1779273915.614590
approach2_run1,103000,1779273915.646522
approach2_run1,104000,1779273915.730951
approach2_run1,105000,1779273915.786278
approach2_run1,106000,1779273915.871089
approach2_run1,107000,1779273915.906367
approach2_run1,108000,1779273915.992849
approach2_run1,109000,1779273916.043793
approach2_run1,110000,1779273916.129025
approach2_run1,111000,1779273916.213342
approach2_run1,112000,1779273916.249290
approach2_run1,113000,1779273916.337364
approach2_run1,114000,1779273916.385046
approach2_run1,115000,1779273916.470718
approach2_run1,116000,1779273916.508430
approach2_run1,117000,1779273916.597161
approach2_run1,118000,1779273916.639554
approach2_run1,119000,1779273916.727295
approach2_run1,120000,1779273916.770584
approach2_run1,121000,1779273916.856499
approach2_run1,122000,1779273916.899009
approach2_run1,123000,1779273916.983591
approach2_run1,124000,1779273917.030012
approach2_run1,125000,1779273917.115693
approach2_run1,126000,1779273917.155253
approach2_run1,127000,1779273917.239841
approach2_run1,128000,1779273917.289992
approach2_run1,129000,1779273917.376363
approach2_run1,130000,1779273917.411422
approach2_run1,131000,1779273917.494569
approach2_run1,132000,1779273917.555126
approach2_run1,133000,1779273917.640836
approach2_run1,134000,1779273917.726826
approach2_run1,135000,1779273917.746167
approach2_run1,136000,1779273917.830776
approach2_run1,137000,1779273917.900983
approach2_run1,138000,1779273917.987589
approach2_run1,139000,1779273918.001590
approach2_run1,140000,1779273918.086189
approach2_run1,141000,1779273918.161043
approach2_run1,142000,1779273918.246676
approach2_run1,143000,1779273918.258258
approach2_run1,144000,1779273918.342618
approach2_run1,145000,1779273918.420001
approach2_run1,146000,1779273918.505971
approach2_run1,147000,1779273918.514570
approach2_run1,148000,1779273918.598868
approach2_run1,149000,1779273918.680341
