run_id,record_index,wall_clock_s
approach2_run3,1000,1779289326.935595
approach2_run3,2000,1779289327.021566
approach2_run3,3000,1779289327.091636
approach2_run3,4000,1779289327.177606
approach2_run3,5000,1779289327.195516
approach2_run3,6000,1779289327.281942
approach2_run3,7000,1779289327.391462
approach2_run3,8000,1779289327.518125
approach2_run3,9000,1779289327.537494
approach2_run3,10000,1779289327.623569
approach2_run3,11000,1779289327.691985
approach2_run3,12000,1779289327.777810
approach2_run3,13000,1779289327.798131
approach2_run3,14000,1779289327.951706
approach2_run3,15000,1779289327.965269
approach2_run3,16000,1779289328.052519
approach2_run3,17000,1779289328.139610
approach2_run3,18000,1779289328.226216
approach2_run3,19000,1779289328.250923
approach2_run3,20000,1779289328.376676
approach2_run3,21000,1779289328.401820
approach2_run3,22000,1779289328.550921
approach2_run3,23000,1779289328.636839
approach2_run3,24000,1779289328.654910
approach2_run3,25000,1779289328.740962
approach2_run3,26000,1779289328.810596
approach2_run3,27000,1779289328.896690
approach2_run3,28000,1779289328.917052
approach2_run3,29000,1779289329.082812
approach2_run3,30000,1779289329.109475
approach2_run3,31000,1779289329.195675
approach2_run3,32000,1779289329.257881
approach2_run3,33000,1779289329.349432
approach2_run3,34000,1779289329.416931
approach2_run3,35000,1779289329.503652
approach2_run3,36000,1779289329.532691
approach2_run3,37000,1779289329.678931
approach2_run3,38000,1779289329.696354
approach2_run3,39000,1779289329.785151
approach2_run3,40000,1779289329.873322
approach2_run3,41000,1779289329.960147
approach2_run3,42000,1779289329.973527
approach2_run3,43000,1779289330.059512
approach2_run3,44000,1779289330.163234
approach2_run3,45000,1779289330.275674
approach2_run3,46000,1779289330.362818
approach2_run3,47000,1779289330.387484
approach2_run3,48000,1779289330.474537
approach2_run3,49000,1779289330.537168
approach2_run3,50000,1779289330.623254
approach2_run3,51000,1779289330.678236
approach2_run3,52000,1779289330.810637
approach2_run3,53000,1779289330.831253
approach2_run3,54000,1779289330.917323
approach2_run3,55000,1779289330.990139
approach2_run3,56000,1779289331.077550
approach2_run3,57000,1779289331.135419
approach2_run3,58000,1779289331.221302
approach2_run3,59000,1779289331.308461
approach2_run3,60000,1779289331.394459
approach2_run3,61000,1779289331.415349
approach2_run3,62000,1779289331.504510
approach2_run3,63000,1779289331.568473
approach2_run3,64000,1779289331.688901
approach2_run3,65000,1779289331.709461
approach2_run3,66000,1779289331.795649
approach2_run3,67000,1779289331.904211
approach2_run3,68000,1779289331.991137
approach2_run3,69000,1779289332.078441
approach2_run3,70000,1779289332.108358
approach2_run3,71000,1779289332.224078
approach2_run3,72000,1779289332.252706
approach2_run3,73000,1779289332.339061
approach2_run3,74000,1779289332.426299
approach2_run3,75000,1779289332.531292
approach2_run3,76000,1779289332.547652
approach2_run3,77000,1779289332.633477
approach2_run3,78000,1779289332.720683
approach2_run3,79000,1779289332.826654
approach2_run3,80000,1779289332.849868
approach2_run3,81000,1779289332.958387
approach2_run3,82000,1779289333.025326
approach2_run3,83000,1779289333.111243
approach2_run3,84000,1779289333.143436
approach2_run3,85000,1779289333.255756
approach2_run3,86000,1779289333.285433
approach2_run3,87000,1779289333.371282
approach2_run3,88000,1779289333.429702
approach2_run3,89000,1779289333.560299
approach2_run3,90000,1779289333.580307
approach2_run3,91000,1779289333.706674
approach2_run3,92000,1779289333.794962
approach2_run3,93000,1779289333.857884
approach2_run3,94000,1779289333.944203
approach2_run3,95000,1779289333.969313
approach2_run3,96000,1779289334.071177
approach2_run3,97000,1779289334.143300
approach2_run3,98000,1779289334.229240
approach2_run3,99000,1779289334.260614
approach2_run3,100000,1779289334.373115
approach2_run3,101000,1779289334.437984
approach2_run3,102000,1779289334.547291
approach2_run3,103000,1779289334.565991
approach2_run3,104000,1779289334.677363
approach2_run3,105000,1779289334.740230
approach2_run3,106000,1779289334.826476
approach2_run3,107000,1779289334.863435
approach2_run3,108000,1779289334.976358
approach2_run3,109000,1779289335.001850
approach2_run3,110000,1779289335.087915
approach2_run3,111000,1779289335.190962
approach2_run3,112000,1779289335.281438
approach2_run3,113000,1779289335.377713
approach2_run3,114000,1779289335.423795
approach2_run3,115000,1779289335.509650
approach2_run3,116000,1779289335.579244
approach2_run3,117000,1779289335.683599
approach2_run3,118000,1779289335.706200
approach2_run3,119000,1779289335.794417
approach2_run3,120000,1779289335.859270
approach2_run3,121000,1779289335.945654
approach2_run3,122000,1779289336.006599
approach2_run3,123000,1779289336.093349
approach2_run3,124000,1779289336.155411
approach2_run3,125000,1779289336.281686
approach2_run3,126000,1779289336.309969
approach2_run3,127000,1779289336.397560
approach2_run3,128000,1779289336.456215
approach2_run3,129000,1779289336.542985
approach2_run3,130000,1779289336.609792
approach2_run3,131000,1779289336.696840
approach2_run3,132000,1779289336.717478
approach2_run3,133000,1779289336.824721
approach2_run3,134000,1779289336.891133
approach2_run3,135000,1779289337.009330
approach2_run3,136000,1779289337.101555
approach2_run3,137000,1779289337.124777
approach2_run3,138000,1779289337.226609
approach2_run3,139000,1779289337.314477
approach2_run3,140000,1779289337.402224
approach2_run3,141000,1779289337.430533
approach2_run3,142000,1779289337.522713
approach2_run3,143000,1779289337.576136
approach2_run3,144000,1779289337.662073
approach2_run3,145000,1779289337.727228
approach2_run3,146000,1779289337.815912
approach2_run3,147000,1779289337.873154
approach2_run3,148000,1779289337.959842
approach2_run3,149000,1779289338.039508
approach2_run3,150000,1779289338.125423
approach2_run3,151000,1779289338.171905
approach2_run3,152000,1779289338.260550
approach2_run3,153000,1779289338.331153
approach2_run3,154000,1779289338.433581
approach2_run3,155000,1779289338.461254
approach2_run3,156000,1779289338.554303
approach2_run3,157000,1779289338.607565
approach2_run3,158000,1779289338.693891
approach2_run3,159000,1779289338.817354
approach2_run3,160000,1779289338.842869
approach2_run3,161000,1779289338.931850
approach2_run3,162000,1779289339.029213
approach2_run3,163000,1779289339.116242
approach2_run3,164000,1779289339.156275
approach2_run3,165000,1779289339.242502
approach2_run3,166000,1779289339.291762
approach2_run3,167000,1779289339.378048
approach2_run3,168000,1779289339.448007
approach2_run3,169000,1779289339.534132
approach2_run3,170000,1779289339.552767
approach2_run3,171000,1779289339.675307
approach2_run3,172000,1779289339.759596
approach2_run3,173000,1779289339.848688
approach2_run3,174000,1779289339.873387
approach2_run3,175000,1779289339.974619
approach2_run3,176000,1779289340.050276
approach2_run3,177000,1779289340.136647
approach2_run3,178000,1779289340.150537
approach2_run3,179000,1779289340.273256
approach2_run3,180000,1779289340.362049
approach2_run3,181000,1779289340.410795
approach2_run3,182000,1779289340.533820
approach2_run3,183000,1779289340.564756
approach2_run3,184000,1779289340.651356
approach2_run3,185000,1779289340.708083
approach2_run3,186000,1779289340.833309
approach2_run3,187000,1779289340.877320
approach2_run3,188000,1779289340.992986
approach2_run3,189000,1779289341.008915
approach2_run3,190000,1779289341.095476
approach2_run3,191000,1779289341.168645
approach2_run3,192000,1779289341.254620
approach2_run3,193000,1779289341.269684
approach2_run3,194000,1779289341.387826
approach2_run3,195000,1779289341.480120
approach2_run3,196000,1779289341.566305
approach2_run3,197000,1779289341.597660
approach2_run3,198000,1779289341.683671
approach2_run3,199000,1779289341.779567
approach2_run3,200000,1779289341.866302
approach2_run3,201000,1779289341.900424
approach2_run3,202000,1779289341.992633
approach2_run3,203000,1779289342.111327
approach2_run3,204000,1779289342.127423
approach2_run3,205000,1779289342.213175
approach2_run3,206000,1779289342.327542
approach2_run3,207000,1779289342.414402
approach2_run3,208000,1779289342.424614
approach2_run3,209000,1779289342.510689
approach2_run3,210000,1779289342.595670
approach2_run3,211000,1779289342.714256
approach2_run3,212000,1779289342.723752
approach2_run3,213000,1779289342.810805
approach2_run3,214000,1779289342.899297
approach2_run3,215000,1779289342.985322
approach2_run3,216000,1779289343.020287
approach2_run3,217000,1779289343.109886
approach2_run3,218000,1779289343.159365
approach2_run3,219000,1779289343.281695
approach2_run3,220000,1779289343.317526
approach2_run3,221000,1779289343.445184
approach2_run3,222000,1779289343.456277
approach2_run3,223000,1779289343.582002
approach2_run3,224000,1779289343.621955
approach2_run3,225000,1779289343.711847
approach2_run3,226000,1779289343.830119
approach2_run3,227000,1779289343.843702
approach2_run3,228000,1779289343.959947
approach2_run3,229000,1779289344.016902
approach2_run3,230000,1779289344.136168
approach2_run3,231000,1779289344.140465
approach2_run3,232000,1779289344.228004
approach2_run3,233000,1779289344.313733
approach2_run3,234000,1779289344.433144
approach2_run3,235000,1779289344.440491
approach2_run3,236000,1779289344.562001
approach2_run3,237000,1779289344.615027
approach2_run3,238000,1779289344.701073
approach2_run3,239000,1779289344.741095
approach2_run3,240000,1779289344.858228
approach2_run3,241000,1779289344.875670
approach2_run3,242000,1779289344.999044
approach2_run3,243000,1779289345.078729
approach2_run3,244000,1779289345.166289
approach2_run3,245000,1779289345.172507
approach2_run3,246000,1779289345.259187
approach2_run3,247000,1779289345.373313
approach2_run3,248000,1779289345.462945
approach2_run3,249000,1779289345.550110
approach2_run3,250000,1779289345.559392
approach2_run3,251000,1779289345.682350
approach2_run3,252000,1779289345.733219
approach2_run3,253000,1779289345.821937
approach2_run3,254000,1779289345.862275
approach2_run3,255000,1779289345.977965
approach2_run3,256000,1779289346.033091
approach2_run3,257000,1779289346.119169
approach2_run3,258000,1779289346.152655
approach2_run3,259000,1779289346.286042
approach2_run3,260000,1779289346.329182
approach2_run3,261000,1779289346.418092
approach2_run3,262000,1779289346.491461
approach2_run3,263000,1779289346.580071
approach2_run3,264000,1779289346.592606
approach2_run3,265000,1779289346.678760
approach2_run3,266000,1779289346.754777
approach2_run3,267000,1779289346.888439
approach2_run3,268000,1779289346.891790
approach2_run3,269000,1779289346.979630
approach2_run3,270000,1779289347.093612
approach2_run3,271000,1779289347.152073
approach2_run3,272000,1779289347.269409
approach2_run3,273000,1779289347.273891
approach2_run3,274000,1779289347.400225
approach2_run3,275000,1779289347.450225
approach2_run3,276000,1779289347.537914
approach2_run3,277000,1779289347.608006
approach2_run3,278000,1779289347.697132
approach2_run3,279000,1779289347.750595
approach2_run3,280000,1779289347.837043
approach2_run3,281000,1779289347.872077
approach2_run3,282000,1779289348.004572
approach2_run3,283000,1779289348.010960
approach2_run3,284000,1779289348.132360
approach2_run3,285000,1779289348.212256
approach2_run3,286000,1779289348.299510
approach2_run3,287000,1779289348.309280
approach2_run3,288000,1779289348.395697
approach2_run3,289000,1779289348.482583
approach2_run3,290000,1779289348.569030
approach2_run3,291000,1779289348.607594
approach2_run3,292000,1779289348.727381
approach2_run3,293000,1779289348.813972
approach2_run3,294000,1779289348.870692
approach2_run3,295000,1779289348.956607
approach2_run3,296000,1779289349.033313
approach2_run3,297000,1779289349.121326
approach2_run3,298000,1779289349.166329
approach2_run3,299000,1779289349.252967
approach2_run3,300000,1779289349.330024
approach2_run3,301000,1779289349.416948
approach2_run3,302000,1779289349.427065
approach2_run3,303000,1779289349.554403
approach2_run3,304000,1779289349.636761
approach2_run3,305000,1779289349.723285
approach2_run3,306000,1779289349.729034
approach2_run3,307000,1779289349.844839
approach2_run3,308000,1779289349.934025
approach2_run3,309000,1779289350.020240
approach2_run3,310000,1779289350.024071
approach2_run3,311000,1779289350.151596
approach2_run3,312000,1779289350.198833
approach2_run3,313000,1779289350.285373
approach2_run3,314000,1779289350.328843
approach2_run3,315000,1779289350.448995
approach2_run3,316000,1779289350.535142
approach2_run3,317000,1779289350.587227
approach2_run3,318000,1779289350.707785
approach2_run3,319000,1779289350.756499
approach2_run3,320000,1779289350.842575
approach2_run3,321000,1779289350.881755
approach2_run3,322000,1779289350.968157
approach2_run3,323000,1779289351.051413
approach2_run3,324000,1779289351.143903
approach2_run3,325000,1779289351.179406
approach2_run3,326000,1779289351.268199
approach2_run3,327000,1779289351.357924
approach2_run3,328000,1779289351.444509
approach2_run3,329000,1779289351.479689
approach2_run3,330000,1779289351.566088
approach2_run3,331000,1779289351.653174
approach2_run3,332000,1779289351.739687
approach2_run3,333000,1779289351.782139
approach2_run3,334000,1779289351.876723
approach2_run3,335000,1779289351.914659
approach2_run3,336000,1779289352.003610
approach2_run3,337000,1779289352.089825
approach2_run3,338000,1779289352.209702
approach2_run3,339000,1779289352.296482
approach2_run3,340000,1779289352.306215
approach2_run3,341000,1779289352.392566
approach2_run3,342000,1779289352.479749
approach2_run3,343000,1779289352.595151
approach2_run3,344000,1779289352.598797
approach2_run3,345000,1779289352.726460
approach2_run3,346000,1779289352.774932
approach2_run3,347000,1779289352.862099
approach2_run3,348000,1779289352.901274
approach2_run3,349000,1779289352.995411
approach2_run3,350000,1779289353.074751
approach2_run3,351000,1779289353.162489
approach2_run3,352000,1779289353.200418
approach2_run3,353000,1779289353.327815
approach2_run3,354000,1779289353.338164
approach2_run3,355000,1779289353.456869
approach2_run3,356000,1779289353.510483
approach2_run3,357000,1779289353.627074
approach2_run3,358000,1779289353.633099
approach2_run3,359000,1779289353.719864
approach2_run3,360000,1779289353.805993
approach2_run3,361000,1779289353.930660
approach2_run3,362000,1779289354.020246
approach2_run3,363000,1779289354.022151
approach2_run3,364000,1779289354.111164
approach2_run3,365000,1779289354.196213
approach2_run3,366000,1779289354.282065
approach2_run3,367000,1779289354.318008
approach2_run3,368000,1779289354.445908
approach2_run3,369000,1779289354.490732
approach2_run3,370000,1779289354.577220
approach2_run3,371000,1779289354.626425
approach2_run3,372000,1779289354.744139
approach2_run3,373000,1779289354.751413
approach2_run3,374000,1779289354.876049
approach2_run3,375000,1779289354.920836
approach2_run3,376000,1779289355.047956
approach2_run3,377000,1779289355.054072
approach2_run3,378000,1779289355.140701
approach2_run3,379000,1779289355.228198
approach2_run3,380000,1779289355.346471
approach2_run3,381000,1779289355.348300
approach2_run3,382000,1779289355.436016
approach2_run3,383000,1779289355.562464
approach2_run3,384000,1779289355.609774
approach2_run3,385000,1779289355.695897
approach2_run3,386000,1779289355.740917
approach2_run3,387000,1779289355.829067
approach2_run3,388000,1779289355.909191
approach2_run3,389000,1779289355.999241
approach2_run3,390000,1779289356.078623
approach2_run3,391000,1779289356.168708
approach2_run3,392000,1779289356.205597
approach2_run3,393000,1779289356.291466
approach2_run3,394000,1779289356.344015
approach2_run3,395000,1779289356.465772
approach2_run3,396000,1779289356.468528
approach2_run3,397000,1779289356.555280
approach2_run3,398000,1779289356.683925
approach2_run3,399000,1779289356.770183
approach2_run3,400000,1779289356.776490
approach2_run3,401000,1779289356.863091
approach2_run3,402000,1779289356.948501
approach2_run3,403000,1779289357.035038
approach2_run3,404000,1779289357.078267
approach2_run3,405000,1779289357.200384
approach2_run3,406000,1779289357.290820
approach2_run3,407000,1779289357.338297
approach2_run3,408000,1779289357.424972
approach2_run3,409000,1779289357.466902
